relatedItem.subject.topic
originInfo.dateIssued.encoding
originInfo.copyrightDate
relatedItem.part.detail.number
recordInfo.recordCreationDate
subject.geographicCode
targetAudience.authority
subject.hierarchicalGeographic.country
subject.authority
relatedItem.relatedItem.originInfo.dateCreated
targetAudience
location
tableOfContents.@altRepGroup
location.url
name.namePart.type
relatedItem.name.namePart.type
accessCondition.type
extension.DRSMetadata.accessFlag
abstract.type
recordInfo.recordChangeDate
relatedItem.type
titleInfo.partNumber
relatedItem.identifier
recordInfo.recordCreationDate.encoding
note.@altRepGroup
@schemaLocation
location.physicalLocation.@valueURI
location.physicalLocation.@displayLabel
extension.DRSMetadata.contentModel
extension.DRSMetadata.inDRS
titleInfo.@altRepGroup
extension.DRSMetadata.ownerCode
language.@objectPart
originInfo.place.placeTerm
originInfo.dateOther
relatedItem.@displayLabel
recordInfo.recordIdentifier
subject.genre
location.holdingSimple.copyInformation.note.type
accessCondition.@displayLabel
location.url.@access
subject.geographicCode.authority
location.holdingSimple.copyInformation.note
extension.librarycloud.processingDate
recordInfo.recordContentSource.authority
relatedItem.relatedItem.relatedItem.location.url
relatedItem.relatedItem.relatedItem.otherType
relatedItem.part.detail.type
extension.cultureWrap.culture
subject.name.namePart
physicalDescription.form.authority
originInfo.copyrightDate.encoding
recordInfo.languageOfCataloging.languageTerm
genre
relatedItem.location.url.@access
relatedItem.name.namePart
recordInfo.recordOrigin
titleInfo.@displayLabel
recordInfo.recordContentSource
relatedItem.otherType
subject.name.type
classification.edition
originInfo.publisher
name.type
location.physicalLocation
classification
typeOfResource.@manuscript
recordInfo.languageOfCataloging.languageTerm.type
name.role.roleTerm
originInfo.place.placeTerm.authority
originInfo.edition
relatedItem.originInfo.edition
relatedItem.recordInfo.recordIdentifier
titleInfo.title
relatedItem.location.url
relatedItem.titleInfo.partName
subject.topic
identifier.@invalid
extension.DRSMetadata.metsLabel
location.physicalLocation.type
extension.styleWrap.style
name.role.roleTerm.type
extension.DRSMetadata.uriType
extension.librarycloud.HarvardRepositories.HarvardRepository
physicalDescription.extent
originInfo.issuance
titleInfo.nonSort
location.shelfLocator
identifier
relatedItem.relatedItem.originInfo.dateCreated.@point
identifier.type
extension.librarycloud.originalDocument
relatedItem
extension.DRSMetadata.lastModifiedDate
originInfo.dateIssued
originInfo.dateCreated
relatedItem.name.type
abstract
accessCondition
originInfo.dateIssued.@point
subject.geographic
originInfo.place.placeTerm.type
physicalDescription.form.type
recordInfo.languageOfCataloging.languageTerm.authority
recordInfo.recordIdentifier.source
location.url.@displayLabel
relatedItem.titleInfo.partNumber
classification.authority
physicalDescription.form
name.namePart
relatedItem.titleInfo.title
originInfo.frequency.authority
extension.librarycloud.priorrecordids.recordIdentifier
language.languageTerm.type
name.@altRepGroup
titleInfo.subTitle
relatedItem.identifier.type
language.languageTerm
note.type
genre.authority
note
relatedItem.originInfo.publisher
subject.name.namePart.type
titleInfo.type
relatedItem.location.url.@displayLabel
language.languageTerm.authority
extension.librarycloud.digitalFormats.digitalFormat
subject.hierarchicalGeographic.city
subject.titleInfo.partName
recordInfo.descriptionStandard
extension.librarycloud.priorrecordids.recordIdentifier.source
recordInfo.recordChangeDate.encoding
extension.DRSMetadata.ownerCodeDisplayName
tableOfContents
extension.indexingMaterialsTechSet.termMaterialsTech
originInfo.dateOther.@keyDate
extension.sets
extension.DRSMetadata.fileDeliveryURL
originInfo.frequency
extension.librarycloud.availableTo
subject.temporal
location.url.@note
originInfo.@altRepGroup
subject.titleInfo.title
typeOfResource
originInfo.dateCreated.@point
