titleInfo.subTitle
name.role.roleTerm
extension.indexingMaterialsTechSet.termMaterialsTech
note
relatedItem.@displayLabel
extension.librarycloud.originalDocument
tableOfContents
relatedItem.location.shelfLocator
name.type
language.languageTerm
relatedItem.location.physicalLocation.@displayLabel
titleInfo.nonSort
relatedItem.relatedItem.subject.topic
relatedItem.relatedItem.location.url
relatedItem.originInfo.edition
extension.librarycloud.processingDate
physicalDescription.extent
language.languageTerm.authority
subject.topic
relatedItem.name.namePart.type
identifier.type
@schemaLocation
extension.DRSMetadata.fileDeliveryURL
name.role.roleTerm.authority
location.physicalLocation.type
language.@objectPart
extension.DRSMetadata.ownerCode
relatedItem.originInfo.dateCreated.@point
relatedItem.note
recordInfo.recordIdentifier.source
relatedItem.location.physicalLocation.@valueURI
relatedItem.subject.topic
titleInfo.@altRepGroup
location.physicalLocation
extension.cultureWrap.culture
relatedItem.classification
originInfo.dateIssued.@point
recordInfo.recordOrigin
relatedItem.name.role.roleTerm
note.@altRepGroup
relatedItem.recordInfo.recordIdentifier
subject.genre
extension.DRSMetadata.contentModel
subject.name.type
relatedItem.name.type
relatedItem.titleInfo.title
typeOfResource
relatedItem.location.url.@displayLabel
originInfo.copyrightDate
relatedItem.titleInfo.type
subject.geographic
recordInfo.descriptionStandard
classification
location.physicalLocation.@valueURI
titleInfo.type
extension.DRSMetadata.metsLabel
relatedItem.location.url
targetAudience.authority
classification.edition
relatedItem.extension.indexingMaterialsTechSet.termMaterialsTech
relatedItem.relatedItem.location.url.@displayLabel
extension.librarycloud.priorrecordids.recordIdentifier
originInfo.edition
classification.authority
relatedItem
physicalDescription.form.type
subject.geographicCode
relatedItem.extension.HarvardRepositories.HarvardRepository
subject.titleInfo.title
extension.librarycloud.HarvardRepositories.HarvardRepository
accessCondition.@displayLabel
relatedItem.identifier
location.url.@displayLabel
physicalDescription.form
recordInfo.recordContentSource.authority
subject.authority
abstract.type
physicalDescription.form.authority
genre.authority
recordInfo.recordContentSource
extension.librarycloud.priorrecordids.recordIdentifier.source
extension.librarycloud.availableTo
abstract
name.@altRepGroup
relatedItem.extension.cultureWrap.culture
relatedItem.relatedItem.location.url.@access
originInfo.issuance
recordInfo.languageOfCataloging.languageTerm
relatedItem.originInfo.publisher
subject.hierarchicalGeographic.country
originInfo.dateOther.@keyDate
extension.DRSMetadata.accessFlag
name.role.roleTerm.type
recordInfo.recordChangeDate.encoding
originInfo.dateIssued.encoding
subject.name.namePart.type
location.url.@access
accessCondition.type
originInfo.dateOther
originInfo.place.placeTerm
relatedItem.name.namePart
relatedItem.location.url.@access
relatedItem.originInfo.dateCreated
extension.DRSMetadata.uriType
extension.DRSMetadata.ownerCodeDisplayName
note.type
subject.hierarchicalGeographic.city
location.physicalLocation.@displayLabel
originInfo.place.placeTerm.authority
extension.styleWrap.style
originInfo.dateIssued
extension.DRSMetadata.inDRS
identifier.@invalid
identifier
subject.name.namePart
name.namePart
originInfo.place.placeTerm.type
extension.librarycloud.digitalFormats.digitalFormat
location.url
originInfo.@altRepGroup
relatedItem.location.url.@note
targetAudience
name.namePart.type
accessCondition
relatedItem.otherType
relatedItem.typeOfResource
location.url.@note
location
subject.temporal
language.languageTerm.type
recordInfo.recordCreationDate
relatedItem.location.physicalLocation
originInfo.dateCreated.@point
relatedItem.type
relatedItem.identifier.type
recordInfo.recordCreationDate.encoding
recordInfo.languageOfCataloging.languageTerm.type
titleInfo.title
originInfo.dateCreated
location.shelfLocator
recordInfo.recordChangeDate
genre
originInfo.publisher
recordInfo.languageOfCataloging.languageTerm.authority
relatedItem.location.physicalLocation.type
subject.geographicCode.authority
originInfo.copyrightDate.encoding
extension.DRSMetadata.lastModifiedDate
recordInfo.recordIdentifier
