titleInfo.subTitle
name.role.roleTerm
extension.indexingMaterialsTechSet.termMaterialsTech
note
relatedItem.@displayLabel
relatedItem.note
relatedItem.titleInfo.partName
relatedItem.location.shelfLocator
name.type
language.languageTerm
location.url.@access
titleInfo.nonSort
genre
relatedItem.originInfo.edition
extension.librarycloud.processingDate
physicalDescription.extent
language.languageTerm.authority
identifier.@displayLabel
subject.topic
relatedItem.name.namePart.type
@schemaLocation
extension.DRSMetadata.fileDeliveryURL
name.role.roleTerm.authority
location.physicalLocation.type
language.@objectPart
extension.DRSMetadata.ownerCode
recordInfo.recordIdentifier
extension.librarycloud.originalDocument
recordInfo.recordIdentifier.source
relatedItem.location.physicalLocation.@valueURI
relatedItem.subject.topic
titleInfo.@altRepGroup
location.physicalLocation
extension.cultureWrap.culture
originInfo.dateIssued.@point
recordInfo.recordOrigin
relatedItem.name.role.roleTerm
note.@altRepGroup
relatedItem.recordInfo.recordIdentifier
subject.genre
extension.DRSMetadata.contentModel
identifier.type
relatedItem.name.type
relatedItem.titleInfo.title
tableOfContents
typeOfResource
relatedItem.location.url.@displayLabel
originInfo.copyrightDate
relatedItem.titleInfo.type
subject.geographic
recordInfo.descriptionStandard
classification
location.physicalLocation.@valueURI
titleInfo.type
extension.DRSMetadata.metsLabel
relatedItem.location.url
targetAudience.authority
classification.edition
extension.sets
location.holdingSimple.copyInformation.note.type
extension.librarycloud.priorrecordids.recordIdentifier
originInfo.edition
classification.authority
relatedItem
physicalDescription.form.type
subject.geographicCode
relatedItem.extension.HarvardRepositories.HarvardRepository
subject.titleInfo.title
extension.librarycloud.HarvardRepositories.HarvardRepository
accessCondition.@displayLabel
relatedItem.identifier
name.role.roleTerm.type
recordInfo.recordContentSource.authority
subject.authority
abstract.type
physicalDescription.form.authority
genre.authority
recordInfo.recordContentSource
extension.librarycloud.priorrecordids.recordIdentifier.source
extension.librarycloud.availableTo
abstract
name.@altRepGroup
originInfo.issuance
recordInfo.languageOfCataloging.languageTerm
relatedItem.originInfo.publisher
subject.hierarchicalGeographic.country
originInfo.dateOther.@keyDate
extension.DRSMetadata.accessFlag
location.url.@displayLabel
recordInfo.recordChangeDate.encoding
originInfo.dateIssued.encoding
subject.name.namePart.type
relatedItem.location.physicalLocation.@displayLabel
accessCondition.type
originInfo.dateOther
originInfo.dateIssued
relatedItem.name.namePart
relatedItem.location.url.@access
originInfo.dateCreated.encoding
extension.DRSMetadata.ownerCodeDisplayName
originInfo.frequency.authority
recordInfo.languageOfCataloging.languageTerm.authority
originInfo.frequency
note.type
subject.hierarchicalGeographic.city
location.physicalLocation.@displayLabel
originInfo.place.placeTerm.authority
extension.styleWrap.style
titleInfo.title
subject.cartographics.scale
originInfo.place.placeTerm
extension.DRSMetadata.inDRS
originInfo.copyrightDate.encoding
identifier.@invalid
identifier
subject.name.namePart
name.namePart
originInfo.place.placeTerm.type
extension.librarycloud.digitalFormats.digitalFormat
location.url
originInfo.@altRepGroup
relatedItem.location.url.@note
targetAudience
name.namePart.type
accessCondition
relatedItem.otherType
relatedItem.typeOfResource
location.url.@note
location
subject.temporal
language.languageTerm.type
recordInfo.recordCreationDate
extension.DRSMetadata.lastModifiedDate
originInfo.dateCreated.@point
relatedItem.type
titleInfo.@displayLabel
relatedItem.identifier.type
recordInfo.recordCreationDate.encoding
recordInfo.languageOfCataloging.languageTerm.type
subject.name.type
originInfo.dateCreated
location.shelfLocator
recordInfo.recordChangeDate
originInfo.publisher
extension.DRSMetadata.uriType
location.holdingSimple.copyInformation.note
relatedItem.location.physicalLocation.type
subject.geographicCode.authority
physicalDescription.form
relatedItem.location.physicalLocation
