name.role.roleTerm.authority
relatedItem.subject.topic
originInfo.dateIssued.encoding
relatedItem.part.detail.number
recordInfo.recordCreationDate
extension.librarycloud.processingDate
subject.geographicCode
targetAudience.authority
subject.hierarchicalGeographic.country
relatedItem.relatedItem.location.url
subject.authority
targetAudience
relatedItem.titleInfo.type
location
tableOfContents.@altRepGroup
location.url
relatedItem.name.namePart.type
titleInfo.type
relatedItem.relatedItem.location.url.@displayLabel
extension.indexingMaterialsTechSet.termMaterialsTech
relatedItem.extension.indexingMaterialsTechSet.termMaterialsTech
abstract.type
recordInfo.recordChangeDate
relatedItem.type
relatedItem.identifier
recordInfo.recordCreationDate.encoding
relatedItem.originInfo.dateCreated.@point
note.@altRepGroup
physicalDescription.reformattingQuality
identifier
location.physicalLocation.@valueURI
location.physicalLocation.@displayLabel
titleInfo.@altRepGroup
language.@objectPart
originInfo.place.placeTerm
originInfo.dateOther
relatedItem.@displayLabel
recordInfo.recordIdentifier
subject.genre
location.holdingSimple.copyInformation.note.type
location.url.@access
subject.geographicCode.authority
location.holdingSimple.copyInformation.note
note.@href
recordInfo.recordContentSource.authority
name.namePart.type
titleInfo.partName
relatedItem.part.detail.type
typeOfResource.@collection
subject.name.namePart
physicalDescription.form.authority
originInfo.copyrightDate.encoding
recordInfo.languageOfCataloging.languageTerm
genre
relatedItem.extension.HarvardRepositories.HarvardRepository
relatedItem.name.namePart
recordInfo.recordOrigin
titleInfo.@displayLabel
recordInfo.recordContentSource
relatedItem.otherType
subject.name.type
classification.edition
originInfo.publisher
name.type
location.physicalLocation
classification
typeOfResource.@manuscript
recordInfo.languageOfCataloging.languageTerm.type
name.role.roleTerm
tableOfContents.@href
originInfo.dateCreated.encoding
originInfo.place.placeTerm.authority
originInfo.edition
relatedItem.originInfo.edition
relatedItem.name.role.roleTerm
titleInfo.title
relatedItem.location.url
relatedItem.titleInfo.partName
subject.topic
identifier.@invalid
location.physicalLocation.type
name.role.roleTerm.type
extension.librarycloud.HarvardRepositories.HarvardRepository
physicalDescription.extent
originInfo.issuance
titleInfo.nonSort
location.shelfLocator
identifier.type
tableOfContents
relatedItem
originInfo.dateIssued
originInfo.dateCreated
relatedItem.name.type
originInfo.dateIssued.@point
originInfo.place.placeTerm.type
physicalDescription.form.type
recordInfo.languageOfCataloging.languageTerm.authority
relatedItem.originInfo.dateCreated
recordInfo.recordIdentifier.source
relatedItem.note
abstract
classification.authority
relatedItem.relatedItem.location.url.@access
physicalDescription.form
name.namePart
relatedItem.titleInfo.title
originInfo.frequency.authority
extension.librarycloud.priorrecordids.recordIdentifier
language.languageTerm.type
name.@altRepGroup
titleInfo.subTitle
relatedItem.identifier.type
language.languageTerm
note.type
genre.authority
note
relatedItem.originInfo.publisher
subject.name.namePart.type
originInfo.dateOther.type
language.languageTerm.authority
originInfo.copyrightDate
subject.hierarchicalGeographic.city
recordInfo.descriptionStandard
extension.librarycloud.priorrecordids.recordIdentifier.source
recordInfo.recordChangeDate.encoding
subject.@altRepGroup
extension.librarycloud.originalDocument
extension.sets
subject.geographic
originInfo.frequency
subject.temporal
originInfo.@altRepGroup
subject.titleInfo.title
typeOfResource
originInfo.dateCreated.@point
